ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken
123,Red_Circle,6 & 2 & 5,Red_Circle,6,2.58
123,Red_Circle,1 & 3 & 4,Red_Circle,1,3.140001
123,Red_Circle,3 & 4 & 7 & 8,Red_Circle,6,2.200001
123,Red_Circle,1 & 2 & 5 & 6,Red_Circle,5,3.239998
123,Red_Circle,1 & 2 & 5 & 6,Red_Circle,2,2.000004
123,Green_Circle,1 & 2,Green_Circle,2,1.040001
123,Green_Circle,1 & 2,Green_Circle,2,1.68
123,Green_Circle,1 & 2,Green_Circle,2,1.399994
123,Green_Circle,1 & 2,Green_Circle,2,1.380005
123,Green_Circle,1 & 2,Green_Circle,1,1.619995
123,Green_Circle,1 & 2,Green_Circle,2,1.139999
123,Blue_Tri,1 & 3,Blue_Tri,1,1.419998
123,Blue_Tri,1 & 3,Blue_Tri,3,1.339996
123,Blue_Tri,1 & 3,Blue_Tri,3,1.580002
123,Blue_Tri,1 & 3,Blue_Tri,1,1.300003
123,Blue_Tri,1 & 3,Blue_Tri,3,1.299995

