ID,Mouse Position (x/y),Current Time (ms)
11,(773/422),3380
11,(773/422),3440
11,(888/383),3580
11,(1323/148),3700
11,(1386/107),3820
11,(1450/75),3940
11,(1494/47),4060
11,(1496/46),4180
11,(1498/46),4300
11,(1498/46),4460
11,(1498/46),4580
11,(1498/46),4660
11,(1498/46),4780
11,(1498/46),4920
11,(1498/46),5040
11,(1498/46),5160
11,(1498/46),5280
11,(1498/46),5400
11,(1498/46),5540
11,(1498/46),5680
11,(1498/46),5800
11,(1498/46),5900
11,(1498/46),6060
11,(1498/46),6180
11,(1498/46),6380
11,(1498/46),6520
11,(1498/46),6600
11,(1498/46),6740
11,(1498/46),6860
11,(1462/67),7000
11,(1437/94),7120
11,(1433/100),7260
11,(1433/100),7400
11,(1433/100),7480
11,(1433/100),7640
11,(1304/163),7760
11,(945/278),7880
11,(909/299),8000
11,(908/300),8140
11,(908/300),8260
11,(890/315),8380
11,(890/315),8500
11,(890/315),8580
11,(890/315),8700
11,(890/315),8820
11,(890/315),8920
11,(890/315),9120
11,(890/315),9240
11,(890/315),9380
11,(1195/352),9480
11,(1489/200),9580
11,(1507/120),9719.999
11,(1507/84),9860
11,(1507/84),9960
11,(1507/84),10100
11,(1243/179),10240
11,(731/463),10360
11,(634/576),10480
11,(684/624),10600
11,(737/659),10740
11,(742/666),10860
11,(742/666),10960
11,(733/572),11080
11,(689/434),11220
11,(679/414),11340
11,(678/412),11480
11,(678/412),11660
11,(678/412),11800
11,(44/355),11900
11,(-242/294),12060
11,(-242/294),12180
11,(-242/294),12300
11,(-242/294),12440
11,(-242/294),12560
11,(-242/294),12660
11,(-242/294),12800
11,(-242/294),12900
11,(-242/294),13020
11,(-242/294),13120
11,(-242/292),13240
11,(-243/289),13380
11,(-247/282),13500
11,(-250/280),13680
11,(-250/280),13800
11,(-250/280),13920
11,(-250/280),14020
11,(-250/280),14140
11,(-251/280),14260
11,(-251/279),14380
11,(-255/223),14500
11,(-261/195),14740
11,(-261/195),14880
11,(-261/195),14980
11,(-261/195),15100
11,(-261/195),15220
11,(-261/195),15360
11,(-261/195),15460
11,(-261/195),15680
11,(-261/195),15820
11,(-261/195),15960
11,(-261/195),16060
11,(-261/195),16200
11,(-261/195),16320
11,(-261/195),16420
11,(-261/195),16580
11,(-261/195),16720
11,(-261/195),16840
11,(-261/195),16960
11,(-261/195),17060
11,(-261/195),17180
11,(-261/195),17280
11,(-261/195),17400
11,(-261/195),17500
11,(-261/195),17620
11,(-261/195),17740
11,(-261/195),17860
11,(-261/195),17980
11,(-261/195),18120
11,(-261/195),18260
11,(-261/195),18380
11,(-261/195),18480
11,(-261/195),18600
11,(-261/195),18740
11,(-261/195),18880
11,(-261/195),18980
11,(-261/195),19080
11,(-261/195),19180
11,(-261/195),19300
11,(-261/195),19400
11,(-261/195),19520
11,(-261/195),19620
11,(-261/195),19840
11,(-261/195),19940
11,(-261/195),20040
11,(-261/195),20160
11,(-261/195),20320
11,(-261/195),20440
11,(-261/195),20560
11,(-261/195),20680
11,(-261/195),20840
11,(-261/195),20960
11,(-261/195),21080
11,(-261/195),21200
11,(-261/195),21300
11,(-261/195),21420
11,(-261/195),21580
11,(-261/195),21700
11,(-261/195),21800
11,(-261/195),21920
11,(-261/195),22020
11,(-261/195),22140
11,(-261/195),22260
11,(-261/195),22360
11,(-261/195),22500
11,(-261/195),22600
11,(-261/195),22820
11,(-261/195),22940
11,(-261/195),23060
11,(-261/195),23180
11,(-261/195),23300
11,(-261/195),23420
11,(-261/195),23520
11,(-261/195),23640
11,(-261/195),23760
11,(-261/195),23880
11,(-261/195),24020
11,(-261/195),24140
11,(-261/195),24280
11,(-261/195),24420
11,(-261/195),24540
11,(-261/195),24780
11,(-261/195),24900
11,(-261/195),25000
11,(-261/195),25140
11,(-261/195),25280
11,(-261/195),25400
11,(-261/195),25520
11,(-261/195),25660
11,(-261/195),25800
11,(-261/195),25940
11,(-261/195),26060
11,(-261/195),26160
11,(-261/195),26280
11,(-261/195),26400
11,(-261/195),26540
11,(-261/195),26680
11,(-261/195),26860
11,(-261/195),26980
11,(-261/195),27080
11,(-261/195),27220
11,(-261/195),27320
11,(-261/195),27460
11,(-261/195),27580
11,(475/2014),27760

