ID,Mouse Position (x/y),Current Time (ms)
11,(707/439),2140
11,(707/439),2200
11,(707/439),2360
11,(707/439),2480
11,(707/439),2580
11,(707/439),2700
11,(707/439),2820
11,(1150/262),2940
11,(1343/185),3060
11,(1414/127),3200
11,(1426/115),3380
11,(1426/115),3500
11,(1426/115),3640
11,(1426/115),3740
11,(1426/115),3860
11,(1081/336),3980
11,(81/1333),4120
11,(81/1333),4220
11,(81/1333),4360
11,(-76/1534),4460
11,(-256/1752),4560
11,(-261/1754),4680
11,(-261/1754),4800
11,(-261/1754),4900
11,(-261/1754),5040
11,(-261/1754),5140
11,(-261/1754),5240
11,(-261/1754),5380
11,(-261/1754),5500
11,(-310/1795),5620
11,(-385/1842),5740
11,(-421/1861),5880
11,(-445/1888),6060
11,(-445/1894),6200
11,(-445/1898),6400
11,(-445/1898),6540
11,(-445/1898),6660
11,(-445/1898),6780
11,(-445/1898),6920
11,(-445/1898),7060
11,(-445/1898),7160
11,(-445/1898),7260
11,(-445/1898),7460
11,(-445/1898),7600
11,(-445/1898),7720
11,(-445/1898),7820
11,(-445/1898),7980
11,(-445/1898),8100
11,(-445/1898),8300
11,(-445/1898),8400
11,(-445/1898),8519.999
11,(-445/1898),8660
11,(-445/1898),8800
11,(-445/1898),8940
11,(-445/1898),9080
11,(-445/1898),9179.999
11,(-445/1898),9340
11,(-445/1898),9480
11,(-445/1898),9599.999
11,(-445/1898),9719.999
11,(-445/1898),9840
11,(-445/1898),10020
11,(-445/1898),10140
11,(-445/1898),10340
11,(-445/1898),10460
11,(480/2010),10560

