ID,Mouse Position (x/y),Current Time (ms)
11,(699/417),14840
11,(1279/260),14900
11,(1537/21),15080
11,(1516/21),15240
11,(1516/21),15380
11,(1516/37),15460
11,(1516/37),15560
11,(1516/37),15680
11,(1516/37),15800
11,(1516/37),15920
11,(1516/37),16040
11,(1516/37),16180
11,(1516/37),16300
11,(1516/37),16400
11,(1516/37),16520
11,(1516/37),16620
11,(1516/37),16740
11,(1516/37),16740
11,(1516/37),16860
11,(1457/86),16980
11,(1431/107),17100
11,(1430/108),17220
11,(1430/108),17340
11,(1430/108),17440
11,(1430/108),17560
11,(1186/171),17680
11,(772/300),17780
11,(736/331),17900
11,(735/333),18060
11,(735/333),18120
11,(769/328),18260
11,(1392/75),18400
11,(1431/56),18520
11,(1518/26),18640
11,(1520/24),18780
11,(1520/24),18900
11,(1509/34),19140
11,(1508/35),19280
11,(1508/35),19420
11,(1508/35),19540
11,(1508/35),19720
11,(1508/35),19860
11,(1508/35),20060
11,(1508/35),20180
11,(1503/36),20300
11,(757/607),20420
11,(574/777),20580
11,(574/777),20700
11,(-48/457),20840
11,(-72/459),21060
11,(454/679),21180
11,(485/685),21300
11,(508/699),21400
11,(560/703),21540
11,(560/701),21660
11,(463/537),21780
11,(427/483),21980
11,(427/479),22120
11,(427/476),22220
11,(427/476),22320
11,(484/611),22460
11,(562/688),22600
11,(562/689),22740
11,(530/537),22860
11,(479/423),22980
11,(451/398),23120
11,(451/398),23220
11,(451/398),23340
11,(451/398),23480
11,(-209/359),23640
11,(-247/356),23760
11,(-247/356),23860
11,(-247/356),23980
11,(-247/356),24140
11,(-247/356),24260
11,(-231/301),24400
11,(-203/217),24520
11,(-202/212),24680
11,(-200/202),24820
11,(-200/201),24920
11,(-200/201),25060
11,(-201/201),25180
11,(-201/201),25280
11,(-201/201),25400
11,(-201/201),25500
11,(-201/201),25620
11,(-201/201),25740
11,(-201/201),25880
11,(-201/201),26000
11,(-201/201),26120
11,(-201/201),26280
11,(-201/201),26400
11,(-201/201),26520
11,(-201/201),26640
11,(-201/201),26740
11,(-201/201),26880
11,(-201/201),27000
11,(-201/201),27120
11,(-201/201),27240
11,(-201/201),27360
11,(-201/201),27500
11,(-201/201),27600
11,(-201/201),27700
11,(-201/201),27820
11,(-201/201),27940
11,(-201/201),28040
11,(-201/201),28220
11,(-201/201),28320
11,(-201/201),28420
11,(-201/201),28540
11,(-201/201),28640
11,(-201/201),28780
11,(-201/201),28900
11,(457/2003),29100

