ID,Mouse Position (x/y),Current Time (ms)
11,(739/434),1440
11,(739/434),1540
11,(775/419),1660
11,(998/318),1760
11,(1077/284),1900
11,(1168/238),2020
11,(1468/66),2160
11,(1481/63),2320
11,(1487/59),2440
11,(1487/59),2560
11,(1487/59),2680
11,(1487/59),2840
11,(1487/59),2980
11,(1487/59),3040
11,(1487/59),3140
11,(1487/59),3260
11,(1487/59),3360
11,(1487/59),3540
11,(1479/44),3680
11,(1346/42),3800
11,(1296/71),3940
11,(1408/74),4060
11,(1527/58),4220
11,(1527/58),4340
11,(1527/58),4540
11,(1527/58),4660
11,(1527/58),4800
11,(1527/58),4900
11,(1527/58),5020
11,(1527/58),5160
11,(1527/58),5260
11,(1527/58),5380
11,(1527/58),5560
11,(1527/58),5680
11,(1527/58),5780
11,(415/1452),5880
11,(-41/1932),6020
11,(-233/1873),6120
11,(-318/1874),6260
11,(-318/1874),6360
11,(-394/1883),6480
11,(-411/1890),6600
11,(-430/1898),6740
11,(-437/1902),6860
11,(-437/1902),7000
11,(-437/1902),7120
11,(-437/1902),7280
11,(-437/1902),7420
11,(-437/1902),7620
11,(-437/1902),7760
11,(-437/1902),7880
11,(-437/1902),8000
11,(-437/1902),8100
11,(-437/1902),8220
11,(-437/1902),8320
11,(-437/1902),8460
11,(-437/1902),8620
11,(-437/1902),8760
11,(-437/1902),8880
11,(-437/1902),9019.999
11,(-437/1902),9179.999
11,(-437/1902),9519.999
11,(-437/1902),9620
11,(-437/1902),9719.999
11,(-437/1902),9940
11,(-437/1902),10040
11,(-437/1902),10160
11,(-437/1902),10260
11,(-437/1902),10400
11,(-437/1902),10520
11,(-437/1902),10620
11,(-437/1902),10740
11,(-437/1902),10840
11,(1503/48),10960
11,(1503/48),11080
11,(1503/48),11180
11,(1503/48),11280
11,(1503/48),11400
11,(1503/48),11500
11,(1503/48),11660
11,(1503/48),11760
11,(1503/48),11880
11,(1503/48),11980
11,(1503/48),12100
11,(1503/48),12200
11,(1503/48),12320
11,(1503/48),12420
11,(1503/48),12580
11,(1503/48),12700
11,(1503/48),12820
11,(1503/48),12940
11,(1503/48),13040
11,(1503/48),13140
11,(1502/48),13280
11,(1465/48),13420
11,(1309/26),13640
11,(1359/35),13740
11,(1612/35),13900
11,(1578/44),14020
11,(1508/44),14160
11,(1506/44),14280
11,(1506/44),14380
11,(1506/44),14500
11,(1506/44),14600
11,(1506/44),14700
11,(1506/44),14820
11,(1506/44),14940
11,(1506/44),15040
11,(1506/44),15160
11,(1505/47),15280
11,(1489/137),15480
11,(1486/167),15580
11,(1486/167),15680
11,(1486/167),15800
11,(1486/165),15920
11,(1486/165),16040
11,(1486/165),16140
11,(1486/164),16260
11,(1516/64),16380
11,(1518/53),16500
11,(1518/51),16660
11,(1518/51),16760
11,(1518/51),16880
11,(1518/51),17000
11,(1518/51),17100
11,(1518/51),17220
11,(1518/51),17340
11,(1518/51),17480
11,(1518/51),17600
11,(1517/58),17700
11,(1498/117),17820
11,(1492/143),17940
11,(1492/151),18060
11,(1492/154),18180
11,(1492/157),18300
11,(1493/158),18420
11,(1493/158),18540
11,(1493/158),18660
11,(1493/158),18760
11,(1493/158),18860
11,(1493/158),18960
11,(1573/249),19100
11,(1872/446),19220
11,(1891/501),19400
11,(1907/563),19500
11,(1913/571),19640
11,(1913/571),19780
11,(1913/571),19900
11,(1913/593),20020
11,(1913/633),20120
11,(1913/640),20260
11,(1912/652),20360
11,(1911/659),20480
11,(1911/659),20780
11,(1911/659),20900
11,(1911/659),21020
11,(1911/659),21140
11,(1911/659),21300
11,(1911/659),21400
11,(1911/659),21620
11,(1911/659),21720
11,(1911/659),21840
11,(1911/659),21960
11,(1911/659),22080
11,(1911/659),22220
11,(1911/659),22320
11,(1911/659),22420
11,(1911/659),22660
11,(1911/659),22780
11,(1911/659),22900
11,(1911/659),23040
11,(1911/659),23200
11,(1911/659),23360
11,(1911/659),23600
11,(1911/659),23700
11,(1911/659),23840
11,(1911/659),23960
11,(1911/659),24080
11,(1911/659),24180
11,(1911/659),24300
11,(1911/659),24420
11,(1911/659),24660
11,(1911/659),24800
11,(1911/659),24900
11,(1911/659),25020
11,(1911/659),25120
11,(1911/659),25240
11,(458/2032),25380

