ID,Mouse Position (x/y),Current Time (ms)
11,(730/431),2540
11,(828/431),2600
11,(1307/232),2740
11,(1310/229),2880
11,(1484/29),3000
11,(1485/29),3120
11,(1481/35),3260
11,(1481/35),3500
11,(1481/35),3500
11,(1481/35),3640
11,(1481/35),3760
11,(1481/35),3900
11,(1481/35),4020
11,(1481/35),4180
11,(1481/35),4300
11,(1481/35),4400
11,(1481/35),4520
11,(1481/35),4640
11,(1481/35),4740
11,(1481/35),4800
11,(1481/35),5020
11,(1472/43),5160
11,(1416/94),5280
11,(1408/102),5420
11,(1408/102),5540
11,(1408/102),5600
11,(1408/102),5720
11,(1034/222),5860
11,(895/279),5980
11,(863/297),6100
11,(858/301),6240
11,(858/301),6360
11,(858/301),6540
11,(858/301),6660
11,(846/312),6800
11,(842/313),6920
11,(842/313),7040
11,(842/313),7100
11,(842/313),7220
11,(842/313),7340
11,(842/313),7460
11,(842/313),7580
11,(842/313),7680
11,(842/313),7780
11,(842/313),7900
11,(842/313),8080
11,(842/313),8220
11,(-126/351),8340
11,(-425/307),8460
11,(-425/307),8580
11,(-425/307),8720
11,(-425/307),8860
11,(-425/307),9000
11,(-425/307),9139.999
11,(-425/307),9380
11,(-425/307),9559.999
11,(-425/307),9679.999
11,(208/404),9800
11,(1468/96),9900
11,(1474/87),10020
11,(1445/63),10240
11,(1445/63),10340
11,(1445/63),10480
11,(1444/63),10600
11,(633/2056),10780
11,(581/2050),10880
11,(498/2004),10980
11,(426/2029),11120
11,(424/2031),11240
11,(447/2033),11380
11,(452/2033),11500

