ID,Mouse Position (x/y),Current Time (ms)
11,(720/422),1400
11,(1501/37),1540
11,(1501/37),1660
11,(1520/24),1760
11,(1517/34),1860
11,(1516/37),1980
11,(1516/37),2140
11,(1516/37),2220
11,(1516/37),2340
11,(1516/37),2480
11,(1516/37),2600
11,(1516/37),2720
11,(1516/37),2860
11,(1511/39),2960
11,(532/179),3100
11,(314/154),3200
11,(314/154),3300
11,(149/42),3440
11,(104/43),3560
11,(104/64),3700
11,(104/64),3800
11,(148/99),3900
11,(616/413),4020
11,(764/451),4160
11,(759/444),4280
11,(754/442),4400

