ID,Mouse Position (x/y),Current Time (ms)
11,(773/430),3560
11,(1028/404),3620
11,(1403/277),3760
11,(1620/116),3900
11,(1549/61),4020
11,(1543/52),4160
11,(1543/52),4280
11,(1534/52),4360
11,(1534/52),4600
11,(1534/52),4740
11,(1534/52),4860
11,(1534/52),5000
11,(1534/52),5100
11,(1534/52),5220
11,(1534/52),5420
11,(1534/52),5560
11,(1534/52),5700
11,(1534/52),5800
11,(1534/52),5920
11,(1534/52),6040
11,(1534/52),6160
11,(1534/52),6220
11,(1533/52),6360
11,(1475/85),6460
11,(1471/89),6660
11,(1471/89),6780
11,(1177/210),6840
11,(925/261),7000
11,(877/293),7120
11,(874/296),7240
11,(868/316),7440
11,(864/323),7580
11,(864/323),7660
11,(864/322),7780
11,(864/326),7900
11,(1454/76),8040
11,(1485/58),8160
11,(1485/58),8260
11,(1485/58),8380
11,(1485/58),8519.999
11,(1485/58),8639.999
11,(1198/288),8780
11,(1103/357),8920
11,(944/564),9040
11,(970/627),9220
11,(1009/690),9340
11,(987/714),9480
11,(987/715),9599.999
11,(937/504),9719.999
11,(920/464),9860
11,(919/464),9960
11,(917/458),10100
11,(917/458),10240
11,(917/458),10360
11,(917/458),10480
11,(917/458),10600
11,(869/523),10780
11,(835/575),10880
11,(811/607),11020
11,(790/641),11160
11,(783/651),11260
11,(782/654),11360
11,(782/654),11480
11,(782/654),11600
11,(260/426),11720
11,(-6/333),11860
11,(-6/333),11960
11,(-6/333),12080
11,(-225/259),12220
11,(-225/259),12360
11,(-225/259),12480
11,(-225/259),12620
11,(257/656),12760
11,(438/666),12860
11,(487/663),13000
11,(523/679),13140
11,(527/680),13280
11,(527/680),13420
11,(527/680),13540
11,(527/680),13680
11,(562/695),13840
11,(563/695),13960
11,(446/507),14100
11,(426/487),14220
11,(426/487),14340
11,(426/487),14480
11,(438/507),14580
11,(735/719),14720
11,(774/726),14840
11,(634/391),15160
11,(634/392),15300
11,(641/443),15440
11,(747/695),15540
11,(765/723),15660
11,(782/728),15800
11,(782/728),15940
11,(703/536),16180
11,(673/472),16300
11,(672/471),16420
11,(672/478),16600
11,(674/476),16720
11,(554/748),16920
11,(552/750),17060
11,(552/750),17200
11,(552/750),17300
11,(607/690),17440
11,(610/685),17560
11,(606/679),17700
11,(467/495),17820
11,(420/427),17940
11,(416/422),18060
11,(416/422),18160
11,(416/422),18280
11,(395/860),18460
11,(444/2056),18580
11,(468/2015),18800
11,(470/2010),18920
11,(470/2010),19060

