ID,Mouse Position (x/y),Current Time (ms)
11,(721/422),1680
11,(722/422),1780
11,(1073/253),1900
11,(1413/64),2020
11,(1405/72),2140
11,(1526/37),2260
11,(1532/35),2420
11,(1532/35),2540
11,(1532/35),2660
11,(1532/35),2720
11,(1532/35),2820
11,(1532/35),2920
11,(1532/35),3040
11,(1532/35),3160
11,(1532/35),3320
11,(1532/35),3440
11,(1532/35),3560
11,(1532/35),3660
11,(1532/35),3760
11,(1532/35),3860
11,(1532/35),3960
11,(1499/56),4120
11,(1471/84),4260
11,(1466/89),4380
11,(1466/89),4500
11,(1466/89),4620
11,(1466/89),4720
11,(1458/91),4840
11,(1052/186),4960
11,(835/282),5080
11,(833/284),5200
11,(833/288),5300
11,(819/313),5440
11,(821/313),5560
11,(822/310),5680
11,(822/310),5820
11,(822/310),5940
11,(822/310),6020
11,(822/310),6120
11,(823/310),6220
11,(1485/120),6360
11,(1516/94),6500
11,(1529/52),6620
11,(1511/58),6740
11,(1511/59),6840
11,(1511/59),6980
11,(1511/59),7080
11,(1299/183),7220
11,(755/607),7380
11,(714/655),7540
11,(592/664),7660
11,(592/666),7760
11,(586/638),7940
11,(508/503),8040
11,(453/421),8140
11,(441/407),8260
11,(440/405),8420
11,(440/405),8559.999
11,(440/405),8679.999
11,(440/405),8800
11,(-118/324),8960
11,(-205/306),9080
11,(-205/306),9280
11,(-205/306),9420
11,(-205/306),9559.999
11,(-205/306),9679.999
11,(-205/306),9800
11,(-205/306),9920
11,(-205/306),10040
11,(-205/306),10140
11,(-205/306),10340
11,(-205/306),10460
11,(-205/306),10560
11,(-205/306),10680
11,(-205/306),10820
11,(-205/306),10920
11,(-205/306),11060
11,(-205/306),11180
11,(-205/306),11340
11,(-137/359),11480
11,(345/509),11580
11,(424/524),11700
11,(424/524),11800
11,(430/537),11920
11,(228/482),12040
11,(-237/324),12160
11,(-237/324),12260
11,(-237/324),12360
11,(-237/324),12560
11,(-237/324),12680
11,(-237/324),12780
11,(-237/324),12880
11,(-237/324),13000
11,(-237/324),13100
11,(-237/324),13200
11,(-237/324),13400
11,(-237/324),13520
11,(-237/324),13620
11,(-237/324),13760
11,(-237/324),13880
11,(-237/324),14000
11,(-237/324),14120
11,(-237/324),14260
11,(-212/414),14420
11,(296/1333),14580
11,(625/1148),14700
11,(625/1148),14820
11,(625/1148),14960
11,(625/1148),15060
11,(625/1148),15160
11,(625/1148),15300
11,(625/1148),15420
11,(625/1148),15540
11,(627/1353),15640
11,(605/2056),15780
11,(538/2002),15960
11,(491/1963),16080
11,(470/1954),16220
11,(463/1959),16440
11,(458/2017),16560
11,(460/2021),16660
11,(460/2021),16780
11,(460/2021),16880
11,(460/2021),16980
11,(460/2021),17100
11,(460/2021),17300
11,(460/2021),17400

