ID,Mouse Position (x/y),Current Time (ms)
1,(757/433),1620
1,(757/433),1700
1,(757/433),1800
1,(1409/296),1940
1,(1542/172),2060
1,(1495/85),2240
1,(1499/68),2340
1,(1499/68),2460
1,(1499/68),2560
1,(1499/68),2660
1,(1499/68),2780
1,(1499/68),2880
1,(1499/68),3060
1,(1499/68),3160
1,(1499/68),3260
1,(1499/68),3380
1,(1499/68),3500
1,(1499/68),3620
1,(1499/68),3740
1,(1499/68),3860
1,(1499/68),3980
1,(1499/68),4060
1,(1499/68),4200
1,(1499/68),4320
1,(1492/73),4440
1,(1492/73),4560
1,(1491/73),4680
1,(1481/87),4800
1,(1480/87),4920
1,(1480/87),4980
1,(1480/87),5100
1,(1467/93),5200
1,(1091/217),5300
1,(829/329),5440
1,(802/356),5560
1,(802/356),5720
1,(802/356),5900
1,(805/348),5900
1,(805/345),6020
1,(861/334),6140
1,(1349/143),6240
1,(1400/79),6380
1,(1429/59),6500
1,(1464/46),6620
1,(1465/45),6740
1,(1465/45),6860
1,(1465/45),6980
1,(1236/257),7120
1,(1002/413),7300
1,(903/546),7400
1,(815/631),7540
1,(784/661),7660
1,(786/658),7820
1,(908/468),7920
1,(920/441),8040
1,(921/438),8160
1,(921/440),8380
1,(921/440),8500
1,(921/440),8620
1,(802/440),8740
1,(-180/322),8920
1,(-193/321),9040
1,(-193/321),9139.999
1,(-193/321),9280
1,(-195/317),9400
1,(-195/317),9519.999
1,(-195/317),9639.999
1,(-195/317),9800
1,(-195/317),9900
1,(-195/317),10020
1,(-195/317),10180
1,(-195/317),10280
1,(-195/317),10400
1,(-195/317),10500
1,(-195/317),10640
1,(-195/317),10760
1,(-192/377),10900
1,(204/2056),11000
1,(314/2056),11100
1,(349/2032),11240
1,(435/2022),11340
1,(458/2022),11460
1,(458/2022),11560
1,(458/2022),11660
1,(458/2022),11780
1,(458/2022),11900
1,(458/2022),12000
1,(458/2022),12140
1,(458/2022),12240
1,(458/2022),12360

