ID,Mouse Position (x/y),Current Time (ms)
1,(708/418),1560
1,(708/418),1600
1,(744/419),1720
1,(912/428),1840
1,(1530/126),1960
1,(1523/103),2080
1,(1504/76),2200
1,(1501/59),2360
1,(1501/59),2460
1,(1501/59),2560
1,(1501/59),2680
1,(1501/59),2780
1,(1501/59),2900
1,(1501/59),3020
1,(1501/59),3140
1,(1501/59),3260
1,(1501/59),3400
1,(1501/59),3500
1,(1501/59),3620
1,(1501/59),3680
1,(1501/59),3800
1,(1501/59),3920
1,(1477/83),4060
1,(1476/85),4160
1,(1476/85),4280
1,(1476/85),4340
1,(1475/85),4460
1,(1315/177),4600
1,(972/322),4720
1,(909/350),4840
1,(909/350),4960
1,(909/350),5100
1,(909/350),5300
1,(909/350),5300
1,(909/350),5420
1,(909/350),5520
1,(1572/17),5660
1,(1641/-20),5780
1,(1602/8),5880
1,(1541/38),6020
1,(1538/40),6180
1,(1538/40),6280
1,(1515/42),6400
1,(1511/42),6520
1,(1511/42),6700
1,(1210/380),6820
1,(1008/608),6960
1,(1001/653),7080
1,(996/678),7240
1,(988/657),7360
1,(901/462),7580
1,(900/456),7720
1,(894/435),7840
1,(895/434),7980
1,(895/434),8120
1,(895/434),8240
1,(895/434),8360
1,(884/434),8480
1,(-126/370),8660
1,(-155/367),8760
1,(-155/367),8900
1,(-155/367),9000
1,(-155/367),9120
1,(-155/367),9240
1,(-155/367),9360
1,(-155/367),9480
1,(-155/367),9580
1,(-155/367),9700
1,(-155/367),9820
1,(-155/367),9960
1,(-155/367),10060
1,(-155/367),10160
1,(-155/367),10300
1,(-155/367),10420
1,(-155/367),10660
1,(-155/367),10800
1,(-155/367),10920
1,(-155/367),11020
1,(-155/367),11140
1,(-155/367),11260
1,(-155/368),11380
1,(-155/368),11520
1,(-54/1059),11740
1,(497/2056),11860
1,(503/2012),11960
1,(498/2004),12080
1,(493/2008),12240
1,(493/2010),12360

