ID,Mouse Position (x/y),Current Time (ms)
1,(702/440),7460
1,(1235/174),7600
1,(1439/108),7700
1,(1450/99),7800
1,(1498/74),7920
1,(1521/57),8040
1,(1521/57),8140
1,(1521/57),8240
1,(1521/57),8440
1,(1521/57),8559.999
1,(1521/57),8660
1,(1521/57),8780
1,(1521/57),8880
1,(1521/57),8980
1,(1521/57),9120
1,(1521/57),9240
1,(1521/57),9500
1,(1521/57),9599.999
1,(1521/57),9719.999
1,(1521/57),9840
1,(1521/57),9980
1,(1521/57),10080
1,(1521/57),10220
1,(1521/57),10320
1,(1521/57),10520
1,(1521/57),10620
1,(1521/57),10740
1,(1521/57),10880
1,(1521/57),11020
1,(1521/57),11080
1,(1521/57),11200
1,(1521/57),11320
1,(1521/57),11440
1,(1488/73),11560
1,(1458/87),11680
1,(1456/89),11800
1,(1456/89),11880
1,(1456/89),12020
1,(1456/89),12120
1,(1052/216),12260
1,(858/326),12380
1,(851/336),12480
1,(851/336),12580
1,(851/336),12700
1,(851/336),12740
1,(121/378),12920
1,(-370/358),13020
1,(-378/358),13120
1,(-378/358),13280
1,(-378/358),13420
1,(-378/358),13540
1,(-378/358),13660
1,(-378/358),13780
1,(-378/358),13940
1,(-378/358),14080
1,(491/2056),14300
1,(486/2023),14460
1,(459/2021),14600
1,(460/2020),14700
1,(461/2018),14860
1,(434/1938),14980
1,(449/2007),15120
1,(453/2016),15240
1,(456/2016),15360
1,(458/2024),15480

