ID,Mouse Position (x/y),Current Time (ms)
1,(754/440),5380
1,(922/364),5440
1,(1177/237),5560
1,(1339/155),5660
1,(1457/83),5780
1,(1520/48),5900
1,(1520/48),6020
1,(1520/48),6160
1,(1520/48),6220
1,(1520/48),6320
1,(1520/48),6440
1,(1520/48),6620
1,(1520/48),6720
1,(1520/48),6860
1,(1520/48),6980
1,(1520/48),7100
1,(1520/48),7220
1,(1520/48),7340
1,(1520/48),7440
1,(1520/48),7560
1,(1520/48),7660
1,(1520/48),7740
1,(1520/48),7880
1,(1520/48),7980
1,(1520/48),8120
1,(1511/57),8220
1,(1477/71),8340
1,(1440/103),8460
1,(1432/109),8580
1,(1432/109),8679.999
1,(1432/109),8800
1,(1432/109),8860
1,(1432/109),9040
1,(1160/200),9139.999
1,(869/299),9280
1,(862/300),9420
1,(862/300),9519.999
1,(862/300),9660
1,(862/300),9780
1,(851/312),9900
1,(843/317),10040
1,(843/318),10200
1,(843/318),10320
1,(843/318),10420
1,(843/318),10520
1,(1223/236),10720
1,(1611/54),10840
1,(1579/67),10960
1,(1551/69),11080
1,(1517/77),11180
1,(1511/79),11300
1,(1510/79),11400
1,(1510/79),11600
1,(1510/79),11740
1,(1460/141),11840
1,(1059/622),11980
1,(1059/622),12120
1,(1008/639),12260
1,(941/667),12380
1,(944/668),12500
1,(957/676),12640
1,(964/679),12740
1,(964/679),12860
1,(964/524),12980
1,(935/434),13140
1,(930/430),13260
1,(930/430),13460
1,(930/430),13580
1,(930/430),13720
1,(930/430),13860
1,(930/430),13960
1,(-10/386),14140
1,(-81/371),14280
1,(-81/371),14480
1,(-81/371),14600
1,(-81/371),14700
1,(-81/371),14820
1,(-122/323),14940
1,(-132/314),15040
1,(-132/314),15160
1,(-132/314),15300
1,(-132/314),15440
1,(-132/314),15580
1,(-132/314),15720
1,(-132/314),15820
1,(-132/314),15960
1,(-132/314),16080
1,(-132/314),16220
1,(-132/314),16360
1,(-132/314),16480
1,(-132/314),16600
1,(-132/314),16720
1,(-34/688),16860
1,(662/2056),16960
1,(715/2014),17120
1,(667/2002),17220
1,(574/2018),17360
1,(474/2032),17480
1,(473/2032),17700
1,(712/1567),17820

