ID,Mouse Position (x/y),Current Time (ms)
1,(653/436),1500
1,(1254/224),1600
1,(1384/147),1720
1,(1438/105),1840
1,(1493/46),2000
1,(1496/43),2140
1,(1496/43),2260
1,(1496/43),2360
1,(1496/43),2480
1,(1496/43),2620
1,(1496/43),2740
1,(1496/43),2840
1,(1496/43),2960
1,(1496/43),3100
1,(1496/43),3200
1,(1496/43),3320
1,(1496/43),3440
1,(1496/43),3560
1,(1496/43),3660
1,(1496/43),3780
1,(1496/43),3940
1,(1496/43),4080
1,(1496/43),4200
1,(1496/43),4320
1,(1496/43),4420
1,(1496/43),4540
1,(1496/43),4660
1,(1496/43),4780
1,(1496/43),4900
1,(1496/43),5120
1,(1496/43),5240
1,(1496/43),5380
1,(1496/43),5500
1,(1496/43),5600
1,(1496/43),5720
1,(1496/43),5820
1,(1496/43),5920
1,(1496/43),6040
1,(1496/43),6160
1,(1478/70),6260
1,(1453/97),6400
1,(1450/100),6520
1,(1450/100),6700
1,(1450/100),6800
1,(1450/100),6920
1,(1450/100),7020
1,(1435/101),7160
1,(832/302),7300
1,(757/342),7480
1,(757/342),7600
1,(757/342),7780
1,(757/342),7780
1,(757/342),7920
1,(757/342),8120
1,(757/342),8220
1,(757/342),8360
1,(705/348),8460
1,(-194/296),8599.999
1,(-291/293),8740
1,(-291/293),8880
1,(-291/293),9080
1,(-291/293),9220
1,(-291/293),9340
1,(-291/293),9460
1,(-291/293),9580
1,(-286/247),9740
1,(-279/211),9860
1,(-274/199),10040
1,(-274/199),10160
1,(-274/199),10300
1,(-274/199),10400
1,(-274/199),10520
1,(-274/199),10620
1,(-274/199),10740
1,(-274/199),10880
1,(-274/199),11000
1,(-274/199),11180
1,(-274/199),11340
1,(-274/199),11460
1,(-274/199),11580
1,(-274/199),11680
1,(-274/199),11800
1,(-274/199),11900
1,(-274/199),12020
1,(-274/199),12180
1,(-274/199),12320
1,(-274/199),12420
1,(-274/199),12540
1,(-274/199),12660
1,(-274/199),12820
1,(-274/199),12980
1,(-274/199),13220
1,(-274/199),13360
1,(-274/199),13500
1,(-274/199),13600
1,(-274/199),13740
1,(-274/199),13880
1,(-274/199),13980
1,(-274/199),14080
1,(-274/199),14240
1,(-274/199),14380
1,(-274/199),14520
1,(-274/199),14640
1,(-274/199),14780
1,(-274/199),14900
1,(-274/199),15080
1,(-274/199),15200
1,(-274/199),15320
1,(-274/199),15460
1,(-274/199),15560
1,(-274/199),15700
1,(-274/199),15820
1,(-274/199),15920
1,(-274/199),16040
1,(-274/199),16220
1,(-274/199),16360
1,(-274/199),16480
1,(-274/199),16600
1,(-274/199),16720
1,(-274/199),16860
1,(-274/199),16960
1,(-274/199),17080
1,(-274/199),17200
1,(-274/199),17340
1,(-274/199),17460
1,(-274/199),17560
1,(-274/199),17660
1,(-274/199),17780
1,(-274/199),17900
1,(-274/199),18040
1,(-274/199),18180
1,(-274/199),18320
1,(-274/199),18440
1,(-274/199),18540
1,(-274/199),18660
1,(-274/199),18780
1,(-274/199),18880
1,(-274/199),19000
1,(-274/199),19180
1,(-274/199),19300
1,(-274/199),19420
1,(-274/199),19560
1,(-274/199),19660
1,(-274/199),19820
1,(-274/199),19960
1,(-274/199),20140
1,(-274/199),20280
1,(-274/199),20400
1,(-274/199),20520
1,(-274/199),20640
1,(-274/199),20780
1,(-274/199),20900
1,(-274/199),21020
1,(-274/199),21120
1,(-274/199),21260
1,(-274/199),21380
1,(-274/199),21500
1,(-274/199),21600
1,(-274/199),21720
1,(-274/199),21820
1,(-274/199),21940
1,(-274/199),22040
1,(-274/199),22160
1,(-274/199),22280
1,(-274/199),22380
1,(-274/199),22480
1,(-274/199),22620
1,(-274/199),22740
1,(-274/199),22840
1,(-274/199),22980
1,(-274/199),23140
1,(-274/199),23280
1,(-274/199),23420
1,(-274/199),23540
1,(-274/199),23640
1,(-274/199),23820
1,(-274/199),23960
1,(-274/199),24180
1,(-274/199),24280
1,(-274/199),24420
1,(-274/199),24540
1,(-274/199),24640
1,(-274/199),24760
1,(-274/199),24880
1,(-274/199),24980
1,(-274/199),25180
1,(-274/199),25340
1,(-274/199),25460
1,(-274/199),25580
1,(-274/199),25720
1,(-274/199),25880
1,(-274/199),26000
1,(-274/199),26200
1,(-274/199),26360
1,(452/2025),26500

