ID,Mouse Position (x/y),Current Time (ms)
1,(804/420),2680
1,(804/420),2800
1,(1017/349),2920
1,(1466/50),3040
1,(1462/19),3160
1,(1461/16),3280
1,(1478/34),3400
1,(1487/45),3520
1,(1487/45),3640
1,(1487/45),3680
1,(1487/45),3800
1,(1487/45),3940
1,(1487/45),4040
1,(1487/45),4180
1,(1487/45),4320
1,(1487/45),4440
1,(1487/45),4560
1,(1487/45),4660
1,(1487/45),4800
1,(1487/45),4940
1,(1487/45),5040
1,(1487/45),5140
1,(1487/45),5280
1,(1487/45),5400
1,(1487/45),5520
1,(1487/45),5640
1,(1487/45),5740
1,(1487/45),5860
1,(1487/45),5960
1,(1487/45),6080
1,(1487/45),6200
1,(1487/45),6340
1,(1487/45),6460
1,(1487/45),6560
1,(1487/45),6680
1,(1487/45),6800
1,(1487/45),6920
1,(1487/45),7060
1,(1487/45),7180
1,(1487/45),7380
1,(1487/45),7480
1,(1487/45),7480
1,(1487/45),7620
1,(1487/45),7720
1,(1463/66),7880
1,(1417/92),8020
1,(1415/95),8140
1,(1415/95),8240
1,(1415/95),8320
1,(1415/95),8480
1,(1097/226),8620
1,(856/300),8820
1,(852/307),8980
1,(847/315),9099.999
1,(847/315),9200
1,(847/315),9300
1,(847/315),9440
1,(847/315),9580
1,(847/315),9700
1,(847/315),9820
1,(790/321),9940
1,(-159/272),10060
1,(-301/256),10160
1,(-301/256),10260
1,(-301/256),10420
1,(-301/256),10540
1,(-301/256),10660
1,(-301/256),10780
1,(-301/256),10900
1,(-301/256),11060
1,(-301/256),11200
1,(-301/256),11400
1,(-301/256),11520
1,(-301/256),11640
1,(-301/256),11780
1,(-301/256),11880
1,(-301/256),11980
1,(-301/256),12120
1,(-301/256),12240
1,(-301/256),12400
1,(-301/256),12540
1,(-301/256),12660
1,(-301/256),12780
1,(-301/256),12900
1,(-301/256),13040
1,(-301/256),13140
1,(-301/256),13240
1,(-286/304),13380
1,(-282/310),13580
1,(-282/310),13700
1,(-282/310),13800
1,(-282/310),13920
1,(-282/310),14080
1,(-282/310),14200
1,(-282/310),14320
1,(-282/310),14460
1,(-282/310),14600
1,(-282/310),14700
1,(-282/310),14840
1,(-282/310),14960
1,(-282/310),15060
1,(-282/310),15200
1,(-282/310),15340
1,(-282/310),15520
1,(-282/310),15660
1,(-282/310),15760
1,(-282/310),15900
1,(-282/310),16020
1,(-282/310),16160
1,(-282/310),16280
1,(-282/310),16420
1,(-282/310),16560
1,(-282/310),16660
1,(-282/310),16780
1,(-282/310),16920
1,(-282/310),17020
1,(-282/310),17160
1,(-282/310),17260
1,(-282/310),17460
1,(-282/310),17600
1,(-282/310),17700
1,(-282/310),17820
1,(-282/310),17940
1,(-282/310),18100
1,(-282/310),18200
1,(-282/310),18360
1,(-282/310),18500
1,(-282/310),18760
1,(-282/310),18880
1,(-282/310),19000
1,(-282/310),19120
1,(1484/60),19240
1,(1484/60),19340
1,(1484/60),19480
1,(1484/60),19600
1,(1484/60),19700
1,(1484/60),19800
1,(1484/60),19920
1,(1484/60),20020
1,(1484/60),20140
1,(1484/60),20240
1,(1484/60),20340
1,(1484/60),20500
1,(1484/60),20620
1,(1484/60),20720
1,(1484/60),20840
1,(1391/60),20960
1,(1243/72),21080
1,(1262/78),21180
1,(1411/71),21320
1,(1451/64),21520
1,(1470/56),21620
1,(1470/56),21720
1,(1470/56),21840
1,(1470/56),21940
1,(1470/56),22060
1,(1469/56),22180
1,(1170/295),22280
1,(915/637),22400
1,(915/637),22500
1,(879/709),22700
1,(823/790),22820
1,(807/820),22940
1,(806/826),23080
1,(804/836),23240
1,(804/836),23340
1,(804/836),23460
1,(804/836),23600
1,(804/836),23740
1,(804/836),23860
1,(804/836),23980
1,(-252/217),24140
1,(-284/205),24260
1,(-308/212),24380
1,(-306/213),24540
1,(405/763),24660
1,(631/860),24800
1,(633/859),24900
1,(633/859),25020
1,(637/862),25140
1,(637/862),25280
1,(637/862),25380
1,(637/862),25480
1,(637/862),25620
1,(637/862),25740
1,(637/862),25840
1,(637/862),25980
1,(637/862),26120
1,(637/862),26240
1,(637/862),26340
1,(637/862),26460
1,(637/862),26600
1,(637/862),26700
1,(637/862),26820
1,(637/862),26920
1,(638/862),27040
1,(639/862),27160
1,(639/862),27280
1,(639/862),27380
1,(644/859),27520
1,(659/855),27660
1,(662/854),27760
1,(662/854),27920
1,(662/854),28040
1,(662/854),28180
1,(662/854),28300
1,(662/854),28400
1,(662/854),28520
1,(662/854),28620
1,(662/854),28780
1,(662/854),28900
1,(662/854),29020
1,(662/854),29120
1,(662/854),29220
1,(662/854),29340
1,(662/854),29460
1,(662/854),29560
1,(662/854),29680
1,(662/854),29840
1,(662/854),29940
1,(662/854),30060
1,(662/854),30180
1,(662/854),30280
1,(662/854),30400
1,(662/854),30540
1,(662/854),30660
1,(662/854),30760
1,(662/854),30880
1,(662/854),30980
1,(662/854),31100
1,(662/854),31200
1,(662/854),31320
1,(662/854),31440
1,(662/854),31540
1,(662/854),31640
1,(662/854),31780
1,(662/854),31880
1,(662/854),32000
1,(662/854),32120
1,(662/854),32260
1,(662/854),32380
1,(662/854),32500
1,(662/855),32620
1,(662/855),32760
1,(662/855),32880
1,(662/855),32980
1,(662/855),33100
1,(662/855),33220
1,(662/855),33320
1,(662/855),33440
1,(662/855),33680
1,(662/855),33820
1,(662/855),33940
1,(662/855),34060
1,(662/855),34160
1,(662/855),34280
1,(662/855),34400
1,(662/855),34540
1,(662/855),34660
1,(662/855),34780
1,(662/855),34920
1,(662/855),35040
1,(662/855),35140
1,(662/856),35260
1,(662/856),35380
1,(662/856),35480
1,(662/856),35660
1,(662/856),35780
1,(662/856),35900
1,(662/856),36020
1,(662/856),36180
1,(662/856),36300
1,(662/856),36420
1,(662/856),36540
1,(662/856),36680
1,(662/856),36780
1,(662/856),36900
1,(662/856),37020
1,(662/856),37120
1,(662/856),37240
1,(662/856),37360
1,(662/856),37560
1,(662/856),37680
1,(662/856),37800
1,(662/856),37900
1,(662/856),38020
1,(662/856),38160
1,(662/856),38280
1,(662/856),38400
1,(662/856),38520
1,(662/856),38640
1,(662/856),38800
1,(662/856),38900
1,(662/856),39020
1,(662/856),39140
1,(662/856),39240
1,(662/856),39360
1,(662/856),39480
1,(662/856),39680
1,(662/856),39820
1,(662/856),39920
1,(662/856),40040
1,(662/856),40160
1,(662/856),40260
1,(662/856),40380
1,(662/856),40500
1,(662/856),40620
