ID,Mouse Position (x/y),Current Time (ms)
1,(694/436),15540
1,(882/420),15600
1,(1278/288),15700
1,(1350/219),15820
1,(1464/95),15940
1,(1474/80),16060
1,(1475/80),16180
1,(1475/80),16300
1,(1475/54),16460
1,(1475/54),16580
1,(1475/54),16680
1,(1475/54),16780
1,(1475/54),16900
1,(1475/54),17020
1,(1475/54),17140
1,(1475/54),17340
1,(1475/54),17480
1,(1475/54),17580
1,(1475/54),17700
1,(1475/54),17820
1,(1475/54),17880
1,(1475/54),18040
1,(1447/74),18180
1,(1442/85),18320
1,(1442/85),18420
1,(1475/72),18500
1,(1504/56),18620
1,(971/268),18840
1,(866/308),18940
1,(844/320),19060
1,(844/320),19160
1,(1454/109),19260
1,(1464/47),19400
1,(1466/40),19540
1,(1467/44),19700
1,(1468/45),19820
1,(1468/45),19940
1,(1468/45),20060
1,(1468/45),20200
1,(712/248),20400
1,(345/401),20540
1,(327/461),20660
1,(598/607),20780
1,(578/639),20920
1,(565/694),21080
1,(565/697),21180
1,(513/550),21300
1,(392/371),21440
1,(393/369),21580
1,(393/369),21700
1,(393/369),21840
1,(393/369),21940
1,(393/369),22040
1,(393/369),22160
1,(393/369),22260
1,(202/369),22400
1,(30/348),22600
1,(30/348),22720
1,(501/2056),22860
1,(581/2050),23000
1,(527/2006),23120
1,(514/2006),23260
1,(484/2018),23480
1,(484/2019),23580
1,(484/2019),23700
1,(483/2019),23820
1,(483/2019),23960
1,(483/2019),24120
1,(483/2019),24220

