ID,Mouse Position (x/y),Current Time (ms)
1,(746/430),13160
1,(807/410),13200
1,(1209/243),13340
1,(1269/223),13440
1,(1581/52),13580
1,(1585/46),13680
1,(1564/44),13800
1,(1547/44),13920
1,(1547/44),14120
1,(1517/44),14120
1,(1517/44),14240
1,(1517/44),14460
1,(1517/44),14580
1,(1517/44),14700
1,(1517/44),14820
1,(1517/44),14940
1,(1517/44),15060
1,(1517/44),15160
1,(1517/44),15280
1,(1517/44),15460
1,(1517/44),15460
1,(1517/44),15600
1,(1517/44),15700
1,(1508/61),15820
1,(1499/77),15980
1,(1499/77),16100
1,(1499/77),16220
1,(1491/89),16340
1,(1491/90),16520
1,(1491/90),16620
1,(1472/100),16680
1,(1470/102),16800
1,(1220/177),16940
1,(859/312),17040
1,(843/331),17240
1,(849/331),17340
1,(1295/185),17420
1,(1332/162),17520
1,(1514/32),17640
1,(1518/30),17740
1,(1518/30),17900
1,(1518/30),18020
1,(1518/30),18140
1,(922/671),18300
1,(825/741),18400
1,(824/740),18520
1,(824/734),18640
1,(801/658),18820
1,(745/524),18920
1,(714/464),19060
1,(704/444),19180
1,(697/432),19320
1,(696/431),19440
1,(696/431),19660
1,(696/431),19800
1,(696/431),19900
1,(696/431),20020
1,(696/431),20120
1,(143/367),20280
1,(31/335),20380
1,(22/331),20500
1,(22/331),20620
1,(-12/294),20820
1,(-90/217),20960
1,(-113/202),21100
1,(-119/200),21220
1,(-121/199),21340
1,(-121/199),21460
1,(-121/199),21580
1,(-121/200),21700
1,(-121/200),21820
1,(-122/202),21940
1,(-154/282),22080
1,(-158/288),22180
1,(-158/288),22320
1,(-158/288),22460
1,(-158/288),22580
1,(-158/288),22720
1,(-158/288),22860
1,(-158/288),23000
1,(-158/288),23100
1,(-158/288),23220
1,(-158/288),23320
1,(-158/288),23460
1,(-158/288),23600
1,(-158/288),23720
1,(-158/288),23840
1,(-158/288),23940
1,(-158/288),24060
1,(-158/288),24180
1,(-158/288),24300
1,(-158/288),24420
1,(-158/288),24620
1,(-158/288),24760
1,(-158/288),24880
1,(-158/288),25000
1,(-158/288),25120
1,(-158/288),25260
1,(-158/288),25360
1,(-158/288),25500
1,(-158/288),25680
1,(-158/288),25840
1,(-158/288),25980
1,(-158/288),26120
1,(-158/288),26260
1,(-144/316),26400
1,(211/659),26520
1,(385/672),26640
1,(411/705),26780
1,(494/770),26940
1,(535/737),27120
1,(546/727),27240
1,(546/727),27380
1,(496/618),27520
1,(461/524),27620
1,(450/455),27740
1,(443/415),27880
1,(443/414),27980
1,(443/414),28100
1,(443/414),28200
1,(443/414),28320
1,(443/414),28440
1,(419/411),28560
1,(-176/272),28700
1,(-249/264),28900
1,(-249/264),29020
1,(-249/264),29160
1,(-249/264),29280
1,(-249/264),29400
1,(-249/264),29520
1,(-249/264),29660
1,(-249/264),29780
1,(-249/264),29900
1,(-249/264),30000
1,(-249/264),30120
1,(-249/264),30240
1,(-249/264),30380
1,(-249/264),30500
1,(-249/264),30600
1,(-249/264),30700
1,(-249/264),30860
1,(-249/264),30960
1,(-239/393),31080
1,(570/2056),31180
1,(828/2056),31280
1,(798/2034),31460
1,(744/2047),31580
1,(692/2032),31720
1,(544/2000),31860
1,(488/2015),32020
1,(487/2016),32160

