ID,Mouse Position (x/y),Current Time (ms)
1,(762/447),1720
1,(1399/80),1840
1,(1469/33),1960
1,(1499/0),2060
1,(1479/46),2180
1,(1479/49),2280
1,(1479/49),2440
1,(1479/49),2520
1,(1479/49),2660
1,(1479/49),2760
1,(1479/49),2860
1,(1479/49),2960
1,(1479/49),3060
1,(1479/49),3180
1,(1479/49),3360
1,(1479/49),3500
1,(1479/49),3620
1,(1479/49),3720
1,(1479/49),3840
1,(1479/49),3960
1,(1434/89),4080
1,(1427/96),4200
1,(1427/96),4340
1,(1427/96),4420
1,(1427/96),4520
1,(1427/96),4660
1,(1427/96),4780
1,(1032/231),4940
1,(949/244),5060
1,(902/274),5160
1,(856/326),5280
1,(854/328),5380
1,(854/328),5480
1,(854/328),5600
1,(-173/412),5820
1,(-567/314),5920
1,(-567/314),6040
1,(-567/314),6180
1,(-566/320),6280
1,(-566/320),6480
1,(-566/320),6580
1,(-566/320),6700
1,(-566/320),6820
1,(-532/275),6940
1,(-462/192),7060
1,(-454/184),7180
1,(-453/182),7320
1,(-453/182),7460
1,(-453/182),7580
1,(-453/182),7700
1,(-453/182),7840
1,(-453/182),7960
1,(-453/182),8080
1,(-453/182),8220
1,(-453/182),8360
1,(-453/182),8460
1,(-453/182),8599.999
1,(-453/182),8740
1,(-453/182),8840
1,(-453/182),8960
1,(-453/182),9080
1,(-453/182),9179.999
1,(-453/182),9300
1,(-453/182),9500
1,(-453/182),9639.999
1,(-453/182),9760
1,(-453/182),9860
1,(-453/182),9960
1,(-453/182),10080
1,(-453/182),10180
1,(-453/182),10300
1,(-453/182),10500
1,(-453/182),10620
1,(-453/182),10740
1,(-453/182),10860
1,(-453/182),10980
1,(-453/182),11140
1,(-453/182),11280
1,(-453/182),11480
1,(-453/182),11620
1,(-453/182),11740
1,(-453/182),11860
1,(-453/182),11960
1,(-453/182),12080
1,(-453/182),12200
1,(-453/182),12320
1,(-453/182),12500
1,(-453/182),12600
1,(-453/182),12720
1,(-453/182),12840
1,(-453/182),12940
1,(-453/182),13060
1,(-453/182),13180
1,(-453/182),13320
1,(-453/182),13480
1,(-453/182),13600
1,(-453/182),13700
1,(-453/182),13800
1,(-453/182),13900
1,(-453/182),14040
1,(-453/182),14180
1,(-453/182),14280
1,(-453/182),14480
1,(-453/182),14580
1,(-453/182),14700
1,(-453/182),14820
1,(-453/182),14960
1,(-453/182),15060
1,(-453/182),15180
1,(-453/182),15320
1,(-453/182),15480
1,(-453/182),15580
1,(-453/182),15720
1,(-453/182),15840
1,(-453/182),15960
1,(-453/182),16080
1,(-453/182),16200
1,(-453/182),16340
1,(-453/182),16480
1,(-453/182),16580
1,(-453/182),16720
1,(-453/182),16820
1,(-453/182),16920
1,(-453/182),17020
1,(-453/182),17120
1,(-453/182),17240
1,(-453/182),17360
1,(-453/182),17460
1,(-453/182),17580
1,(-453/182),17720
1,(-453/182),17820
1,(-453/182),17960
1,(-453/182),18080
1,(-453/182),18200
1,(-453/182),18320
1,(-453/182),18440
1,(-453/182),18580
1,(-453/182),18700
1,(-453/182),18800
1,(-453/182),18920
1,(-453/182),19040
1,(-453/182),19140
1,(-453/182),19300
1,(-453/182),19400
1,(-453/182),19620
1,(-453/182),19740
1,(-453/182),19860
1,(-453/182),19980
1,(-453/182),20080
1,(-453/182),20220
1,(-453/182),20340
1,(-453/182),20480
1,(-453/182),20640
1,(-453/182),20780
1,(-453/182),20920
1,(-453/182),21020
1,(-453/182),21120
1,(-453/182),21220
1,(-453/182),21360
1,(-453/182),21480
1,(-453/182),21580
1,(-453/182),21700
1,(-453/182),21800
1,(-453/182),21920
1,(-453/182),22040
1,(-453/182),22160
1,(-453/182),22300
1,(-453/182),22480
1,(-453/182),22640
1,(-453/182),22740
1,(-453/182),22860
1,(-453/182),22980
1,(-453/182),23100
1,(-453/182),23240
1,(-453/182),23360
1,(-453/182),23480
1,(-453/182),23580
1,(-453/182),23700
1,(-453/182),23800
1,(-453/182),23920
1,(-453/182),24040
1,(-453/182),24200
1,(-453/182),24300
1,(-453/182),24420
1,(-453/182),24540
1,(-453/182),24660
1,(-453/182),24760
1,(-453/182),24880
1,(-453/182),24980
1,(-453/182),25120
1,(-453/182),25240
1,(-453/182),25360
1,(-453/182),25540
1,(-453/182),25660
1,(-453/182),25760
1,(-453/182),25880
1,(-453/182),25980
1,(-453/182),26100
1,(-453/182),26240
1,(-453/182),26360
1,(-453/182),26500
1,(-453/182),26620
1,(-453/182),26760
1,(-453/182),26880
1,(-453/182),27000
1,(-453/182),27100
1,(-453/182),27240
1,(-453/182),27340
1,(-453/182),27460
1,(-453/182),27600
1,(-453/182),27740
1,(-453/182),27860
1,(-453/182),27980
1,(-453/182),28080
1,(-453/182),28180
1,(-453/182),28320
1,(-453/182),28440
1,(-453/182),28620
1,(-453/182),28740
1,(-453/182),28840
1,(-453/182),28960
1,(-453/182),29060
1,(-453/182),29180
1,(-453/182),29300
1,(-453/182),29420
1,(-453/182),29620
1,(-453/182),29740
1,(-453/182),29860
1,(-453/182),29960
1,(-453/182),30080
1,(-453/182),30180
1,(-453/182),30320
1,(-453/182),30440
1,(-453/182),30540
1,(-453/182),30680
1,(481/2024),30820

