ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken,Current Time (ms)
1,Red_Circle,2 & 1 & 7 & 5,Blue_Square,2,1.659996,69939.99
1,Red_Circle,2 & 1 & 7 & 5,Green_Tri,1,2.5,73299.99

