ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken,Current Time (ms)
1,Red_Square,2 & 4 & 5 & 1,Red_Square,2,1.200001,31500
1,Red_Square,2 & 4 & 5 & 1,Green_Tri,3,0.4399986,33440
1,Red_Square,2 & 4 & 5 & 1,Green_Circle,4,1.100002,34540
1,Red_Square,2 & 4 & 5 & 1,Green_Circle,6,1.440002,37360

