ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken
111,Blue_Circle,2 & 3 & 6,Green_Square,2,3.08
111,Blue_Circle,2 & 3 & 6,Green_Square,2,1.859999
111,Blue_Circle,2 & 3 & 6,Red_Tri,2,1.18
111,Blue_Circle,2 & 3 & 6,Green_Square,2,1.02
111,Blue_Circle,2 & 3 & 6,Red_Tri,2,0.7399998
111,Blue_Circle,2 & 3 & 6,Red_Square,2,0.9200001
111,Blue_Circle,2 & 3 & 6,Red_Square,2,0.7600002
111,Blue_Circle,2 & 3 & 6,Red_Tri,2,1
111,Red_Tri,2 & 4 & 7 & 8,Red_Tri,3,1.460003
111,Red_Tri,1 & 3 & 5 & 6,Red_Tri,5,1.779999
111,Red_Tri,1 & 3 & 5 & 6,Red_Tri,3,1.060001
111,Red_Tri,1 & 3 & 5 & 6,Red_Tri,3,1.139999
111,Blue_Circle,2 & 1,Blue_Circle,2,1.5
111,Blue_Circle,2 & 1,Blue_Circle,2,1.079994
111,Blue_Circle,2 & 1,Blue_Circle,2,1.300003
111,Blue_Circle,2 & 1,Blue_Circle,2,1.400002
111,Blue_Circle,2 & 1,Blue_Circle,2,1.419998
111,Blue_Circle,2 & 1,Blue_Circle,1,1.299995
111,Red_Circle,4 & 3,Red_Circle,3,1.739998
111,Red_Circle,4 & 3,Red_Circle,4,1.200005
111,Red_Circle,4 & 3,Red_Circle,3,1.160004

